CustomerID,Age,Gender,Region,AnnualIncome_USD,SpendingScore,ProductCategory,NumPurchasesPerYear,PurchaseAmount_USD,TenureMonths,SatisfactionScore,Churned
CUST00027,38,Male,Central,52700,38.7,Sports,11,414.69,9,5.0,0
CUST00028,29,Female,West,47200,29.4,Electronics,3,458.63,61,4.4,0
CUST00029,50,Female,Central,46300,42.4,Fashion,11,383.18,20,3.8,0
CUST00030,24,Male,North,46500,34.1,Fashion,10,361.29,50,2.7,0
CUST00031,33,Female,South,41700,33.1,Sports,3,314.8,22,4.5,0
CUST00032,30,Male,South,44800,29.9,Home & Living,1,371.61,13,4.2,0
CUST00033,52,Male,South,76700,70.6,Sports,13,629.48,12,2.9,0
CUST00034,37,Female,South,57500,39.1,Beauty,5,366.01,10,4.2,0
CUST00035,47,Other,East,55500,60.2,Electronics,16,783.3,65,4.6,0
CUST00036,18,Female,North,25300,39.3,Home & Living,7,346.73,30,3.6,0
CUST00037,38,Male,West,30900,31.8,Groceries,3,33.65,8,4.2,0
CUST00038,46,Male,North,50600,39.9,Beauty,3,299.0,21,3.0,0
CUST00039,36,Female,South,46700,41.3,Home & Living,10,461.08,22,3.0,0
CUST00040,48,Male,East,49900,11.3,Electronics,1,439.03,18,3.6,0
CUST00041,29,Male,West,41500,32.4,Fashion,6,290.75,66,4.5,0
CUST00042,52,Female,West,62900,51.3,Groceries,11,193.99,48,4.5,0
CUST00043,63,Male,West,69500,40.8,Sports,5,414.91,44,3.7,0
CUST00044,31,Female,North,38500,16.4,Electronics,3,388.79,9,2.6,0
CUST00045,30,Male,East,45000,37.0,Beauty,6,330.35,67,5.0,0
CUST00046,52,Female,North,66200,63.6,Beauty,13,401.09,54,3.1,0
CUST00047,54,Male,South,54100,49.9,Fashion,10,523.06,26,3.7,0
CUST00048,29,Female,South,55300,43.7,Fashion,7,452.62,26,4.2,0
CUST00049,30,Female,North,42600,47.5,Groceries,8,177.49,34,4.5,1
CUST00050,32,Male,South,45400,32.8,Sports,4,306.68,8,2.8,0
CUST00051,19,Other,Central,40500,18.2,Groceries,1,164.02,10,1.7,1
CUST00052,24,Female,Central,40500,25.8,Fashion,5,316.93,48,3.4,0
CUST00053,23,Female,South,46100,59.5,Fashion,16,614.28,55,4.8,0
CUST00054,26,Female,North,42700,34.3,Beauty,3,200.75,54,4.4,0
CUST00055,35,Female,North,42200,31.2,Fashion,3,360.91,40,4.3,0
CUST00056,38,Female,South,53600,36.6,Home & Living,3,409.99,15,4.0,0
CUST00057,54,Male,Central,53600,57.4,Electronics,12,676.61,18,4.7,0
CUST00058,23,Male,North,38500,55.5,Fashion,11,425.16,23,2.9,0
CUST00059,47,Male,West,57700,66.2,Groceries,11,262.66,62,3.0,0
CUST00060,32,Male,North,43300,34.0,Sports,3,491.09,46,4.2,0
CUST00061,34,Male,Central,45700,40.2,Sports,7,340.59,39,2.9,1
CUST00062,43,Male,South,37600,10.3,Sports,1,125.85,15,2.3,0
CUST00063,22,Female,West,31800,49.9,Home & Living,9,420.52,53,4.9,0
CUST00064,40,Male,South,52800,25.0,Groceries,7,33.62,64,4.1,0
CUST00065,37,Male,West,50900,41.5,Home & Living,3,447.96,63,4.1,0
CUST00066,41,Female,North,43600,19.7,Fashion,1,283.82,16,3.4,0
CUST00067,38,Male,North,61700,38.2,Electronics,11,699.26,70,4.2,0
CUST00068,64,Female,Central,64600,27.9,Sports,3,434.0,66,5.0,0
CUST00069,27,Male,Central,49700,34.3,Groceries,9,141.22,13,2.0,0
CUST00070,29,Other,Central,46500,32.4,Sports,5,313.04,47,2.6,0
CUST00071,28,Female,West,36000,26.1,Home & Living,4,258.38,9,2.5,0
CUST00072,28,Male,West,57800,56.3,Beauty,11,306.44,63,4.3,1
CUST00073,27,Male,North,30200,16.2,Fashion,1,226.32,34,5.0,0
CUST00074,49,Female,South,67900,47.9,Electronics,8,680.03,29,4.4,0
CUST00075,52,Female,South,71200,60.9,Fashion,9,569.76,37,4.3,0
CUST00076,28,Female,West,35800,26.4,Beauty,1,143.55,43,3.6,0
CUST00077,25,Female,South,51800,35.0,Electronics,7,599.7,64,3.1,0
CUST00078,41,Male,North,50600,34.5,Beauty,5,385.93,24,3.9,0
CUST00079,28,Male,East,44400,52.1,Fashion,8,357.97,71,5.0,0
CUST00080,43,Male,West,56900,42.8,Home & Living,4,377.65,34,3.5,0
CUST00081,37,Female,South,48200,30.8,Fashion,10,346.88,48,3.4,0
CUST00082,18,Female,North,40600,44.9,Fashion,10,387.02,12,3.2,0
CUST00083,54,Male,North,71000,32.2,Fashion,8,474.28,23,4.0,0
CUST00084,57,Male,South,50700,39.9,Groceries,6,158.41,13,3.3,1
CUST00085,28,Male,South,53500,48.5,Beauty,3,322.12,45,4.5,0
CUST00086,30,Male,West,28500,23.6,Beauty,10,192.55,65,4.0,0
CUST00087,38,Female,West,59600,33.9,Sports,5,443.21,47,3.7,0
CUST00088,39,Female,West,61300,34.0,Beauty,3,193.1,58,4.1,0
CUST00089,43,Female,South,44700,39.3,Sports,8,321.72,5,2.8,0
CUST00090,59,Female,Central,64500,54.4,Groceries,13,256.07,5,4.6,0
CUST00091,33,Male,North,36100,23.4,Home & Living,4,236.14,60,4.6,0
CUST00092,25,Female,East,37300,40.1,Sports,11,421.49,21,2.6,0
CUST00093,18,Female,West,30500,7.7,Fashion,5,131.65,24,2.8,0
CUST00094,26,Female,North,47100,33.3,Home & Living,2,391.43,18,3.9,0
CUST00095,35,Female,North,59500,44.6,Groceries,5,246.02,21,3.6,0
CUST00096,57,Female,Central,79000,38.5,Beauty,9,346.68,54,4.2,0
CUST00097,29,Female,South,37600,22.1,Sports,1,132.43,10,3.1,0
CUST00098,38,Male,West,48400,28.9,Fashion,4,320.76,24,3.9,1
CUST00099,35,Male,North,32600,31.6,Electronics,1,482.76,60,3.9,0
CUST00100,49,Male,West,52400,33.4,Electronics,4,539.59,57,4.5,0
CUST00101,65,Male,South,81900,21.6,Home & Living,3,451.2,23,4.2,0
CUST00102,29,Female,North,57200,20.2,Beauty,2,306.45,22,4.7,0
CUST00103,29,Male,West,31500,22.3,Electronics,2,331.61,68,3.7,0
CUST00104,48,Female,South,53500,42.1,Home & Living,4,438.37,34,3.7,0
CUST00105,43,Female,South,54300,5.9,Groceries,8,129.96,70,3.1,0
CUST00106,57,Male,North,69000,37.2,Home & Living,12,564.93,28,5.0,0
CUST00107,42,Male,North,46400,28.0,Home & Living,1,506.74,39,2.2,0
CUST00108,31,Female,South,48200,55.9,Home & Living,14,562.73,42,5.0,0
CUST00109,42,Male,North,49400,31.6,Fashion,4,432.94,23,3.6,0
CUST00110,48,Male,Central,58700,44.5,Home & Living,8,475.68,70,4.5,0
CUST00111,45,Male,North,61200,44.2,Sports,7,368.89,2,3.1,0
CUST00112,41,Male,East,52900,13.1,Home & Living,1,323.68,24,3.5,0
CUST00113,48,Female,North,54900,46.7,Fashion,11,463.74,17,3.9,0
CUST00114,49,Female,South,58700,42.1,Fashion,7,388.07,65,2.8,0
CUST00115,52,Female,Central,61400,46.3,Groceries,6,209.51,70,3.6,0
CUST00116,43,Female,North,51200,84.1,Beauty,10,470.38,69,3.5,0
CUST00117,33,Female,Central,43700,10.8,Electronics,1,373.88,60,4.4,0
CUST00118,37,Male,North,63800,67.6,Electronics,6,892.85,50,4.1,0
CUST00119,49,Female,West,64700,39.8,Home & Living,7,528.61,12,3.9,0
CUST00120,25,Female,East,36600,37.6,Groceries,3,121.74,47,3.8,0
CUST00121,39,Female,Central,57400,41.7,Home & Living,6,454.85,67,5.0,0
CUST00122,30,Female,East,40500,29.7,Electronics,9,386.85,65,3.5,0
CUST00123,35,Male,East,58300,37.3,Fashion,10,535.93,27,3.7,0
CUST00124,50,Male,North,63800,46.3,Beauty,8,360.54,48,4.7,0
CUST00125,37,Male,North,48500,19.2,Groceries,3,123.83,62,4.7,0
CUST00126,36,Male,Central,52600,49.3,Fashion,14,403.48,44,2.6,0
CUST00127,19,Female,South,20000,20.9,Beauty,5,310.36,19,2.6,0
CUST00128,44,Female,South,45300,19.4,Groceries,2,66.94,59,3.8,0
CUST00129,43,Male,West,43800,26.9,Groceries,1,118.36,8,3.0,0
CUST00130,61,Female,South,71100,58.2,Electronics,11,871.09,55,4.1,0
CUST00131,31,Male,Central,59900,40.2,Fashion,9,485.3,47,4.5,0
CUST00132,38,Male,West,70400,55.0,Groceries,7,313.78,2,3.4,1
CUST00133,38,Male,East,56000,32.9,Sports,6,470.64,39,4.1,0
CUST00134,54,Male,Central,68400,52.9,Groceries,8,278.26,45,4.3,0
CUST00135,34,Female,North,30700,35.5,Beauty,5,154.16,32,4.4,0
CUST00136,38,Male,South,45400,57.3,Electronics,2,660.2,65,1.8,0
CUST00137,42,Female,East,46600,32.3,Home & Living,5,404.94,38,3.4,0
CUST00138,37,Female,South,43900,42.5,Electronics,10,690.65,11,2.8,0
CUST00139,30,Male,West,42000,36.9,Home & Living,4,303.71,10,3.7,0
CUST00140,37,Other,Central,45200,50.9,Fashion,9,506.19,59,3.7,0
CUST00141,48,Other,East,41000,20.2,Fashion,1,284.52,55,4.0,0
CUST00142,23,Male,South,44300,48.6,Groceries,9,240.93,20,4.1,0
CUST00143,37,Female,Central,39800,29.6,Sports,4,277.4,17,2.9,0
CUST00144,27,Male,East,43100,36.7,Fashion,3,308.65,68,4.4,0
CUST00145,49,Male,East,78300,52.9,Groceries,13,312.74,5,4.5,0
CUST00146,18,Male,South,25000,32.4,Electronics,8,416.99,60,4.7,0
CUST00147,28,Female,Central,19000,20.7,Fashion,2,237.56,23,2.2,0
CUST00148,40,Female,East,49400,39.5,Electronics,8,580.8,46,3.7,0
CUST00149,54,Male,West,73800,66.2,Electronics,13,881.19,52,4.4,0
CUST00150,34,Male,West,64500,60.2,Sports,12,417.31,10,3.8,0
CUST00151,28,Female,South,30700,39.8,Fashion,2,368.12,46,3.6,0
CUST00152,58,Male,East,71800,39.1,Electronics,10,747.71,28,3.3,0
CUST00153,18,Male,Central,29100,21.2,Sports,2,147.49,43,3.7,0
CUST00154,18,Female,South,32300,45.4,Sports,6,287.57,26,2.6,0
CUST00155,40,Other,West,75800,63.9,Fashion,19,600.73,55,4.9,0
CUST00156,29,Male,Central,29100,45.7,Sports,9,219.36,48,5.0,0
CUST00157,23,Female,West,39800,29.6,Fashion,4,262.81,29,3.8,0
CUST00158,44,Female,West,59600,39.1,Fashion,1,374.85,27,3.4,0
CUST00159,38,Male,West,60100,24.6,Home & Living,8,387.72,18,4.2,0
CUST00160,28,Female,Central,42700,32.2,Electronics,1,445.34,60,4.7,0
CUST00161,20,Male,South,37800,48.6,Beauty,5,186.64,69,3.8,0
CUST00162,45,Female,North,52700,31.6,Fashion,4,499.23,21,3.5,0
CUST00163,43,Female,South,57000,48.3,Electronics,12,764.53,24,3.2,0
CUST00164,34,Female,West,43800,33.2,Sports,8,267.9,3,3.3,0
CUST00165,57,Male,East,72000,48.9,Groceries,8,263.04,62,4.2,0
CUST00166,22,Female,West,33400,19.4,Fashion,4,261.64,2,2.5,1
CUST00167,18,Male,South,36700,37.7,Sports,4,376.61,66,3.2,0
CUST00168,27,Male,West,40700,1.0,Sports,1,117.88,42,2.6,1
CUST00169,34,Male,North,57000,41.5,Sports,7,467.83,34,4.0,0
CUST00170,38,Female,West,49800,18.3,Sports,6,243.19,42,3.7,0
CUST00171,32,Female,East,29200,41.5,Sports,10,210.95,20,3.3,0
CUST00172,39,Male,North,62500,54.7,Fashion,11,571.16,68,4.6,0
CUST00173,20,Female,South,26800,35.4,Beauty,5,282.15,45,3.0,0
CUST00174,52,Male,West,56300,55.2,Home & Living,11,703.72,42,3.1,0
CUST00175,34,Female,East,41500,22.7,Sports,4,189.36,47,3.9,0
CUST00176,48,Male,North,71200,68.7,Sports,8,615.28,5,2.0,0
CUST00177,39,Female,Central,31900,37.5,Home & Living,5,317.53,49,3.6,0
CUST00178,40,Male,West,80200,53.3,Fashion,9,646.13,37,5.0,0
CUST00179,42,Female,Central,63200,58.4,Electronics,12,708.7,34,2.7,0
CUST00180,40,Male,East,54000,26.5,Groceries,4,87.88,70,3.7,0
CUST00181,43,Male,East,54100,28.9,Groceries,1,122.34,18,1.6,1
CUST00182,51,Male,Central,63900,34.8,Electronics,6,647.55,19,3.4,0
CUST00183,37,Female,East,54100,34.5,Fashion,6,358.97,40,5.0,0
CUST00184,44,Female,West,61200,30.2,Groceries,6,225.36,17,3.7,0
CUST00185,34,Male,South,51900,55.2,Home & Living,12,588.94,60,3.6,0
CUST00186,52,Female,East,63000,38.1,Electronics,9,695.21,42,5.0,0
CUST00187,27,Female,North,39200,39.3,Beauty,5,354.62,72,2.8,0
CUST00188,57,Female,North,65100,33.9,Fashion,4,468.01,65,4.5,0
CUST00189,35,Female,North,46000,14.7,Electronics,1,320.17,53,3.9,0
CUST00190,18,Male,North,43500,44.1,Groceries,9,261.41,7,3.0,1
CUST00191,37,Male,Central,54800,18.4,Fashion,7,289.82,5,3.9,0
CUST00192,27,Female,South,15000,19.1,Home & Living,2,222.89,24,2.5,0
CUST00193,45,Female,West,62200,26.7,Fashion,4,491.46,28,3.9,0
CUST00194,27,Female,Central,42700,61.1,Fashion,15,497.56,62,4.3,0
CUST00195,30,Male,East,43300,47.5,Home & Living,9,357.47,17,2.7,0
CUST00196,18,Male,North,29800,33.6,Sports,7,205.23,20,4.9,0
CUST00197,30,Female,West,53600,58.2,Home & Living,6,629.97,3,3.2,0
CUST00198,18,Female,West,41800,29.7,Fashion,7,310.99,37,3.6,0
CUST00199,18,Female,West,26300,36.7,Home & Living,3,315.98,15,2.5,1
CUST00200,44,Female,West,59100,43.9,Sports,4,466.31,51,3.8,0
CUST00201,44,Female,Central,46700,37.0,Electronics,5,589.3,48,5.0,0
CUST00202,40,Male,East,39600,46.0,Home & Living,6,438.65,8,3.1,0
CUST00203,23,Male,South,31900,40.7,Home & Living,6,345.73,13,3.8,0
CUST00204,34,Female,West,54700,45.8,Fashion,3,433.52,48,4.6,0
CUST00205,35,Female,North,56300,23.1,Electronics,7,567.03,3,3.2,0
CUST00206,21,Male,Central,40500,26.4,Beauty,8,251.52,65,3.7,1
CUST00207,53,Male,North,69600,43.5,Beauty,1,353.44,31,4.0,0
CUST00208,46,Female,South,61700,43.6,Groceries,10,279.89,26,3.3,0
CUST00209,32,Male,West,39400,19.9,Home & Living,1,281.67,56,3.7,0
CUST00210,35,Male,East,51600,68.9,Home & Living,14,543.84,34,4.5,0
CUST00211,38,Female,South,57500,60.8,Electronics,10,731.04,9,3.4,0
CUST00212,18,Female,East,40100,46.0,Sports,8,294.88,62,5.0,0
CUST00213,32,Female,Central,55900,44.6,Beauty,7,312.39,13,3.3,0
CUST00214,27,Male,South,47300,37.6,Groceries,10,247.58,69,3.0,0
CUST00215,23,Female,Central,40700,26.0,Electronics,1,386.89,41,1.0,0
CUST00216,32,Male,North,54800,44.0,Home & Living,9,496.11,1,1.8,1
CUST00217,57,Male,West,66200,44.5,Beauty,11,321.96,47,2.5,0
CUST00218,43,Female,Central,46600,19.2,Groceries,5,117.9,4,3.3,0
CUST00219,28,Female,North,40300,39.4,Fashion,14,268.75,63,3.2,0
CUST00220,42,Female,East,47000,32.8,Beauty,4,247.38,52,2.3,0
CUST00221,52,Female,North,56100,14.0,Groceries,5,129.98,10,3.1,0
CUST00222,46,Female,West,55800,28.5,Electronics,4,581.06,28,2.8,0
CUST00223,36,Male,East,41500,28.4,Fashion,8,327.2,6,3.6,0
CUST00224,27,Male,West,38200,57.1,Groceries,9,124.41,27,3.8,0
CUST00225,43,Male,North,37500,35.1,Groceries,5,213.76,12,3.7,0
CUST00226,40,Male,North,53900,23.7,Home & Living,8,390.79,62,2.0,0
CUST00227,46,Other,North,57100,45.4,Sports,6,430.98,52,4.0,1
CUST00228,43,Male,South,47200,15.9,Beauty,1,203.91,48,3.7,0
CUST00229,48,Female,East,64700,56.6,Home & Living,8,564.76,67,3.2,0
CUST00230,29,Female,Central,51100,36.1,Fashion,8,404.69,46,2.1,0
CUST00231,51,Female,West,46900,30.3,Sports,9,343.4,15,3.3,0
CUST00232,37,Female,East,42600,49.6,Groceries,9,84.55,71,4.9,0
CUST00233,60,Female,Central,62100,22.4,Home & Living,8,378.65,36,1.6,0
CUST00234,27,Female,West,32500,14.1,Sports,1,173.92,14,2.6,0
CUST00235,56,Male,Central,73100,39.1,Beauty,5,380.67,3,3.3,0
CUST00236,37,Female,East,47700,49.3,Fashion,7,509.24,67,5.0,0
CUST00237,27,Male,South,38600,16.4,Electronics,2,310.94,19,3.2,0
CUST00238,29,Male,North,24600,1.0,Home & Living,1,93.24,54,5.0,0
CUST00239,31,Female,West,50100,35.0,Fashion,8,351.39,69,2.7,0
CUST00240,40,Male,North,40800,38.1,Electronics,5,469.06,10,1.8,1
CUST00241,41,Female,South,53400,53.4,Home & Living,9,504.62,33,4.5,0
CUST00242,28,Female,East,44300,32.3,Fashion,5,390.39,13,1.5,1
CUST00243,35,Female,East,60000,40.3,Fashion,4,386.96,51,4.3,0
CUST00244,61,Male,West,58100,48.8,Sports,8,463.03,32,3.4,0
CUST00245,56,Male,North,38400,2.0,Home & Living,1,92.29,24,2.7,0
CUST00246,40,Female,South,53700,34.9,Fashion,5,363.84,35,3.3,0
CUST00247,35,Male,West,64000,50.0,Groceries,8,213.23,70,3.0,0
CUST00248,36,Other,Central,59800,50.2,Home & Living,9,640.54,40,3.6,0
CUST00249,42,Other,West,55600,33.9,Fashion,4,384.77,54,4.0,0
CUST00250,23,Female,Central,33100,33.1,Sports,9,139.35,44,3.3,0
CUST00251,32,Male,West,52500,11.8,Electronics,1,295.36,62,3.5,0
CUST00252,18,Male,East,24500,21.1,Electronics,1,300.63,68,4.3,0
CUST00253,40,Female,North,56300,46.6,Groceries,16,247.29,33,4.9,0
CUST00254,43,Male,West,59100,30.1,Home & Living,2,457.91,56,3.8,0
CUST00255,29,Male,West,52200,43.2,Sports,3,400.29,36,4.4,0
CUST00256,54,Female,West,88700,61.9,Fashion,13,745.99,54,3.4,0
CUST00257,20,Female,East,38500,33.0,Fashion,1,289.48,19,2.3,0
CUST00258,18,Female,East,28700,33.7,Electronics,5,463.84,43,4.2,0
CUST00259,38,Female,South,50100,26.5,Sports,11,213.78,12,3.1,1
CUST00260,48,Male,East,42900,27.5,Groceries,1,89.25,11,4.1,0
CUST00261,55,Female,North,58500,44.6,Electronics,1,565.69,70,5.0,0
CUST00262,29,Other,West,39000,36.1,Electronics,2,475.7,12,4.1,0
CUST00263,48,Male,North,54100,30.0,Groceries,8,168.42,41,4.3,0
CUST00264,35,Female,North,49100,41.1,Home & Living,10,449.67,25,1.0,1
CUST00265,33,Female,East,38600,41.2,Fashion,5,363.9,3,3.6,0
CUST00266,46,Female,West,67200,21.3,Home & Living,6,374.26,3,3.9,0
CUST00267,43,Female,East,54600,53.0,Sports,13,429.59,28,2.6,0
CUST00268,18,Female,South,33200,30.4,Beauty,10,118.54,23,3.4,0
CUST00269,53,Male,East,60100,44.1,Beauty,7,422.29,48,3.0,0
CUST00270,52,Male,South,63600,55.9,Beauty,2,373.13,67,4.9,0
CUST00271,27,Female,Central,48400,24.3,Groceries,2,118.5,42,2.9,0
CUST00272,40,Female,Central,44200,25.1,Electronics,3,546.89,40,3.2,0
CUST00273,41,Female,East,46900,31.5,Home & Living,4,309.35,6,2.9,0
CUST00274,38,Female,South,47600,27.0,Fashion,4,266.64,20,5.0,0
CUST00275,28,Female,West,29700,49.6,Beauty,12,195.92,11,4.1,0
CUST00276,27,Female,North,33600,21.3,Home & Living,7,264.56,27,4.8,0
CUST00277,35,Female,East,43500,28.3,Beauty,4,260.19,21,2.0,1
CUST00278,49,Female,South,67500,47.5,Beauty,11,419.98,13,2.4,0
CUST00279,42,Female,Central,56100,25.9,Fashion,5,520.82,35,4.8,0
CUST00280,31,Female,North,46100,33.2,Sports,6,188.87,47,2.3,0
CUST00281,44,Female,East,63100,47.8,Sports,11,489.68,28,3.1,0
CUST00282,18,Male,West,32100,29.8,Sports,5,220.13,21,5.0,0
CUST00283,49,Male,East,63200,41.2,Groceries,13,177.74,18,2.6,0
CUST00284,18,Male,North,32400,27.6,Electronics,1,355.65,31,2.2,1
CUST00285,31,Female,Central,46700,20.2,Groceries,2,81.29,60,3.9,0
CUST00286,22,Male,East,31500,35.8,Home & Living,6,432.7,37,2.3,0
CUST00287,19,Male,West,15000,43.8,Groceries,9,172.52,21,4.4,0
CUST00288,49,Female,South,58400,39.6,Home & Living,10,481.3,14,2.7,0
CUST00289,29,Male,East,55500,47.2,Home & Living,8,585.35,60,3.2,0
CUST00290,39,Female,East,59500,51.9,Electronics,4,638.82,23,3.7,0
CUST00291,34,Male,North,55600,27.6,Fashion,7,292.31,29,3.2,0
CUST00292,41,Male,North,64000,66.1,Electronics,13,723.11,47,4.2,0
CUST00293,36,Female,Central,49400,40.7,Sports,1,326.58,30,4.0,0
CUST00294,20,Male,South,36800,55.6,Sports,9,390.42,38,3.5,0
CUST00295,47,Male,North,52400,27.5,Groceries,1,168.72,27,2.5,0
CUST00296,29,Female,East,39800,56.5,Home & Living,7,484.76,15,4.0,0
CUST00297,18,Female,West,38800,47.3,Beauty,5,198.42,59,3.4,0
CUST00298,30,Male,North,54300,50.1,Beauty,11,390.29,3,2.5,0
CUST00299,53,Female,East,61800,42.9,Home & Living,8,527.23,10,3.5,0
CUST00300,45,Male,North,52200,33.9,Electronics,2,605.87,17,2.0,0
CUST00301,31,Male,North,44400,51.3,Fashion,11,318.8,11,3.6,0
CUST00302,31,Female,North,49800,42.0,Electronics,3,619.65,48,4.1,0
CUST00303,31,Female,Central,31400,5.2,Home & Living,2,105.66,5,4.0,0
CUST00304,60,Female,North,48300,15.8,Home & Living,1,287.63,69,3.7,0
CUST00305,40,Female,North,47000,33.1,Fashion,4,391.78,64,5.0,0
CUST00306,40,Other,East,41000,35.3,Groceries,7,161.6,14,3.7,0
CUST00307,47,Female,Central,53400,36.2,Groceries,8,131.73,50,3.7,0
CUST00308,38,Male,South,49000,52.0,Fashion,13,456.22,26,5.0,0
CUST00309,32,Female,East,41100,11.1,Groceries,2,13.62,72,4.1,0
CUST00310,33,Male,North,59100,47.1,Beauty,9,416.39,69,3.8,0
CUST00311,34,Male,East,49800,17.4,Groceries,2,123.82,7,3.3,0
CUST00312,35,Male,East,50500,48.4,Groceries,9,269.75,16,2.9,0
CUST00313,44,Male,East,61000,41.6,Groceries,8,177.77,55,4.2,0
CUST00314,36,Other,South,38400,36.4,Beauty,6,213.77,56,4.9,0
CUST00315,44,Female,South,64800,34.7,Groceries,1,156.62,4,3.1,0
CUST00316,34,Female,North,46200,52.3,Sports,10,457.03,48,4.0,0
CUST00317,36,Male,South,54600,54.0,Beauty,10,313.59,17,4.0,0
CUST00318,18,Male,North,23700,35.5,Fashion,4,306.97,36,4.6,0
CUST00319,46,Male,West,43100,29.3,Electronics,1,449.79,70,3.8,0
CUST00320,39,Male,Central,58500,49.9,Fashion,13,369.38,38,3.9,0
CUST00321,47,Female,Central,61300,33.4,Electronics,7,582.55,62,4.8,0
CUST00322,18,Female,Central,25200,39.7,Fashion,6,223.55,48,4.0,0
CUST00323,60,Female,West,61200,57.0,Sports,6,486.23,10,1.9,0
CUST00324,33,Male,West,56200,56.4,Electronics,7,667.26,36,4.6,0
CUST00325,48,Female,South,48100,24.5,Electronics,8,528.04,29,4.1,0
CUST00326,23,Female,West,52300,49.0,Home & Living,9,492.54,4,3.8,0
CUST00327,42,Female,East,45600,18.3,Electronics,1,404.16,44,2.9,0
CUST00328,22,Female,East,42400,45.7,Electronics,9,617.82,56,4.2,0
CUST00329,28,Male,West,38800,39.9,Home & Living,4,445.17,42,4.5,0
CUST00330,58,Male,South,72700,22.7,Groceries,8,191.86,13,2.6,0
CUST00331,33,Male,South,41200,20.3,Groceries,7,78.76,46,3.2,0
CUST00332,38,Female,Central,48800,33.8,Home & Living,4,298.15,33,4.3,0
CUST00333,45,Male,North,56600,36.0,Beauty,4,260.92,21,2.9,0
CUST00334,41,Male,East,43800,18.5,Electronics,1,367.61,57,3.8,0
CUST00335,37,Male,Central,56100,46.8,Electronics,3,679.96,69,3.5,0
CUST00336,39,Male,West,46500,38.4,Home & Living,2,396.03,70,5.0,0
CUST00337,64,Female,East,70300,39.2,Home & Living,7,576.28,67,4.6,0
CUST00338,34,Female,South,38000,22.8,Beauty,3,161.43,48,3.5,0
CUST00339,37,Female,South,26400,36.1,Sports,2,253.8,33,3.2,0
CUST00340,48,Male,Central,57100,58.8,Groceries,9,308.72,36,2.7,0
CUST00341,48,Female,East,80500,47.7,Fashion,9,595.08,33,3.7,0
CUST00342,49,Female,East,66700,37.2,Sports,8,419.44,31,4.2,0
CUST00343,43,Male,North,54400,44.8,Groceries,2,166.76,21,2.7,0
CUST00344,21,Male,North,33500,29.3,Electronics,4,373.3,27,3.6,0
CUST00345,55,Male,Central,65000,39.7,Sports,2,375.7,72,3.9,0
CUST00346,21,Female,South,40800,47.0,Home & Living,11,400.26,62,5.0,0
CUST00347,39,Female,West,40500,8.8,Beauty,4,204.51,26,3.0,0
CUST00348,26,Male,North,50100,58.0,Groceries,7,208.69,66,4.6,0
CUST00349,34,Male,West,53300,42.3,Beauty,5,231.7,12,4.4,0
CUST00350,39,Female,Central,57600,37.4,Groceries,5,299.83,22,3.2,0
CUST00351,39,Female,East,55100,39.7,Sports,1,406.34,17,3.0,0
CUST00352,40,Female,North,52200,38.2,Electronics,7,506.37,7,4.1,0
